Sample Name, Sample-6
Time, November 05 14:57:34 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
970.0, 0.0601, 87.07
971.0, 0.0600, 87.10
972.0, 0.0599, 87.11
973.0, 0.0597, 87.15
974.0, 0.0599, 87.11
975.0, 0.0597, 87.15
976.0, 0.0599, 87.11
977.0, 0.0600, 87.09
978.0, 0.0598, 87.13
979.0, 0.0598, 87.15
980.0, 0.0597, 87.16
981.0, 0.0596, 87.17
982.0, 0.0597, 87.16
983.0, 0.0595, 87.19
984.0, 0.0597, 87.17
985.0, 0.0595, 87.20
986.0, 0.0595, 87.20
987.0, 0.0594, 87.21
988.0, 0.0596, 87.17
989.0, 0.0596, 87.18
990.0, 0.0596, 87.19
991.0, 0.0595, 87.19
992.0, 0.0594, 87.21
993.0, 0.0594, 87.22
994.0, 0.0593, 87.24
995.0, 0.0592, 87.26
996.0, 0.0594, 87.22
997.0, 0.0594, 87.22
998.0, 0.0591, 87.27
999.0, 0.0592, 87.26
1000.0, 0.0592, 87.26
1001.0, 0.0590, 87.30
1002.0, 0.0590, 87.29
1003.0, 0.0590, 87.30
1004.0, 0.0589, 87.31
1005.0, 0.0590, 87.29
1006.0, 0.0588, 87.34
1007.0, 0.0589, 87.32
1008.0, 0.0589, 87.32
1009.0, 0.0588, 87.33
1010.0, 0.0589, 87.31
1011.0, 0.0589, 87.32
1012.0, 0.0590, 87.29
1013.0, 0.0591, 87.28
1014.0, 0.0590, 87.30
1015.0, 0.0588, 87.34
1016.0, 0.0589, 87.31
1017.0, 0.0588, 87.34
1018.0, 0.0588, 87.34
1019.0, 0.0588, 87.33
1020.0, 0.0588, 87.34
1021.0, 0.0591, 87.28
1022.0, 0.0591, 87.28
1023.0, 0.0581, 87.49
1024.0, 0.0580, 87.50
1025.0, 0.0582, 87.45
1026.0, 0.0582, 87.47
1027.0, 0.0582, 87.45
1028.0, 0.0582, 87.45
1029.0, 0.0584, 87.41
1030.0, 0.0583, 87.43
1031.0, 0.0583, 87.43
1032.0, 0.0582, 87.45
1033.0, 0.0583, 87.45
1034.0, 0.0585, 87.40
1035.0, 0.0585, 87.40
1036.0, 0.0584, 87.42
1037.0, 0.0585, 87.40
1038.0, 0.0586, 87.38
1039.0, 0.0587, 87.36
1040.0, 0.0585, 87.39
1041.0, 0.0587, 87.36
1042.0, 0.0589, 87.32
1043.0, 0.0587, 87.35
1044.0, 0.0587, 87.35
1045.0, 0.0588, 87.34
1046.0, 0.0588, 87.33
1047.0, 0.0588, 87.34
1048.0, 0.0589, 87.32
1049.0, 0.0589, 87.32
1050.0, 0.0589, 87.31
1051.0, 0.0588, 87.34
1052.0, 0.0591, 87.27
1053.0, 0.0591, 87.27
1054.0, 0.0592, 87.25
1055.0, 0.0593, 87.24
1056.0, 0.0591, 87.27
1057.0, 0.0591, 87.27
1058.0, 0.0591, 87.27
1059.0, 0.0590, 87.29
1060.0, 0.0591, 87.28
1061.0, 0.0593, 87.24
1062.0, 0.0592, 87.25
1063.0, 0.0591, 87.28
