Sample Name, Eq3S1.sca
Time, October 29 15:21:45 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
791.0, 0.0036, 99.17
792.0, 0.0038, 99.13
793.0, 0.0036, 99.17
794.0, 0.0034, 99.23
795.0, 0.0035, 99.20
796.0, 0.0035, 99.19
797.0, 0.0035, 99.20
798.0, 0.0035, 99.20
799.0, 0.0038, 99.13
800.0, 0.0040, 99.09
801.0, 0.0041, 99.05
802.0, 0.0036, 99.18
803.0, 0.0034, 99.21
804.0, 0.0033, 99.24
805.0, 0.0033, 99.24
806.0, 0.0038, 99.13
807.0, 0.0032, 99.26
808.0, 0.0035, 99.19
809.0, 0.0033, 99.24
810.0, 0.0038, 99.13
811.0, 0.0033, 99.24
812.0, 0.0033, 99.25
813.0, 0.0032, 99.26
814.0, 0.0031, 99.28
815.0, 0.0033, 99.25
816.0, 0.0035, 99.21
817.0, 0.0032, 99.26
818.0, 0.0030, 99.32
819.0, 0.0034, 99.21
820.0, 0.0032, 99.27
821.0, 0.0034, 99.22
822.0, 0.0033, 99.25
823.0, 0.0033, 99.24
824.0, 0.0033, 99.25
825.0, 0.0033, 99.24
826.0, 0.0036, 99.17
827.0, 0.0038, 99.13
828.0, 0.0039, 99.11
829.0, 0.0033, 99.24
830.0, 0.0032, 99.27
831.0, 0.0034, 99.22
832.0, 0.0035, 99.21
833.0, 0.0036, 99.18
834.0, 0.0036, 99.18
835.0, 0.0033, 99.24
836.0, 0.0037, 99.16
837.0, 0.0035, 99.19
838.0, 0.0029, 99.34
839.0, 0.0029, 99.33
840.0, 0.0033, 99.24
841.0, 0.0038, 99.14
842.0, 0.0034, 99.23
843.0, 0.0040, 99.08
844.0, 0.0037, 99.15
845.0, 0.0036, 99.18
846.0, 0.0033, 99.23
847.0, 0.0033, 99.25
848.0, 0.0034, 99.21
849.0, 0.0038, 99.14
850.0, 0.0038, 99.14
851.0, 0.0032, 99.26
852.0, 0.0033, 99.25
853.0, 0.0039, 99.10
854.0, 0.0031, 99.30
855.0, 0.0032, 99.26
856.0, 0.0035, 99.20
857.0, 0.0035, 99.19
858.0, 0.0037, 99.15
859.0, 0.0036, 99.18
860.0, 0.0038, 99.13
861.0, 0.0036, 99.17
862.0, 0.0034, 99.23
863.0, 0.0036, 99.17
864.0, 0.0033, 99.25
865.0, 0.0034, 99.23
866.0, 0.0032, 99.26
867.0, 0.0034, 99.23
868.0, 0.0036, 99.18
869.0, 0.0034, 99.22
870.0, 0.0034, 99.23
871.0, 0.0035, 99.19
872.0, 0.0036, 99.17
873.0, 0.0032, 99.26
874.0, 0.0033, 99.24
875.0, 0.0036, 99.18
876.0, 0.0032, 99.27
877.0, 0.0035, 99.20
878.0, 0.0038, 99.13
879.0, 0.0034, 99.22
880.0, 0.0034, 99.22
881.0, 0.0035, 99.20
882.0, 0.0036, 99.17
883.0, 0.0034, 99.23
884.0, 0.0034, 99.21
885.0, 0.0034, 99.22
886.0, 0.0037, 99.16
887.0, 0.0037, 99.16
888.0, 0.0033, 99.23
889.0, 0.0035, 99.19
890.0, 0.0034, 99.22
891.0, 0.0035, 99.20
892.0, 0.0038, 99.12
893.0, 0.0037, 99.14
894.0, 0.0039, 99.12
895.0, 0.0034, 99.21
896.0, 0.0034, 99.22
897.0, 0.0033, 99.25
898.0, 0.0034, 99.23
899.0, 0.0032, 99.26
900.0, 0.0036, 99.17
901.0, 0.0038, 99.13
902.0, 0.0036, 99.18
903.0, 0.0036, 99.17
904.0, 0.0034, 99.22
905.0, 0.0035, 99.20
906.0, 0.0036, 99.18
907.0, 0.0035, 99.19
908.0, 0.0033, 99.23
909.0, 0.0035, 99.19
910.0, 0.0035, 99.19
911.0, 0.0036, 99.18
912.0, 0.0033, 99.24
913.0, 0.0034, 99.21
914.0, 0.0032, 99.27
915.0, 0.0033, 99.24
916.0, 0.0032, 99.27
917.0, 0.0030, 99.31
918.0, 0.0028, 99.36
919.0, 0.0029, 99.34
920.0, 0.0033, 99.24
921.0, 0.0036, 99.16
922.0, 0.0036, 99.16
923.0, 0.0034, 99.21
924.0, 0.0032, 99.26
925.0, 0.0033, 99.24
926.0, 0.0034, 99.23
927.0, 0.0030, 99.30
928.0, 0.0035, 99.21
929.0, 0.0036, 99.17
930.0, 0.0036, 99.17
931.0, 0.0037, 99.15
932.0, 0.0035, 99.19
933.0, 0.0039, 99.11
934.0, 0.0035, 99.19
935.0, 0.0033, 99.25
936.0, 0.0037, 99.15
937.0, 0.0035, 99.20
938.0, 0.0035, 99.19
939.0, 0.0038, 99.12
940.0, 0.0036, 99.18
941.0, 0.0037, 99.15
942.0, 0.0037, 99.15
943.0, 0.0033, 99.24
944.0, 0.0034, 99.22
945.0, 0.0034, 99.22
946.0, 0.0033, 99.25
947.0, 0.0033, 99.25
948.0, 0.0033, 99.25
949.0, 0.0035, 99.21
950.0, 0.0033, 99.24
951.0, 0.0036, 99.16
952.0, 0.0035, 99.19
953.0, 0.0036, 99.17
954.0, 0.0034, 99.21
955.0, 0.0033, 99.24
956.0, 0.0034, 99.21
957.0, 0.0036, 99.19
958.0, 0.0036, 99.18
959.0, 0.0033, 99.25
960.0, 0.0033, 99.24
961.0, 0.0034, 99.23
962.0, 0.0034, 99.21
963.0, 0.0034, 99.22
964.0, 0.0032, 99.26
