Sample Name, Equipo1S2.sca
Time, November 05 14:42:31 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
636.0, 0.1372, 72.92
637.0, 0.1370, 72.94
638.0, 0.1370, 72.95
639.0, 0.1374, 72.88
640.0, 0.1373, 72.89
641.0, 0.1373, 72.89
642.0, 0.1377, 72.82
643.0, 0.1375, 72.86
644.0, 0.1376, 72.85
645.0, 0.1376, 72.85
646.0, 0.1375, 72.85
647.0, 0.1377, 72.84
648.0, 0.1378, 72.82
649.0, 0.1381, 72.76
650.0, 0.1381, 72.76
651.0, 0.1380, 72.78
652.0, 0.1380, 72.78
653.0, 0.1381, 72.76
654.0, 0.1381, 72.76
655.0, 0.1384, 72.70
656.0, 0.1383, 72.72
657.0, 0.1378, 72.81
658.0, 0.1381, 72.75
659.0, 0.1381, 72.77
660.0, 0.1386, 72.68
661.0, 0.1385, 72.70
662.0, 0.1385, 72.69
663.0, 0.1387, 72.66
664.0, 0.1389, 72.62
665.0, 0.1386, 72.68
666.0, 0.1388, 72.64
667.0, 0.1387, 72.66
668.0, 0.1387, 72.66
669.0, 0.1387, 72.66
670.0, 0.1389, 72.63
671.0, 0.1388, 72.65
672.0, 0.1385, 72.70
673.0, 0.1388, 72.65
674.0, 0.1386, 72.67
675.0, 0.1389, 72.62
676.0, 0.1386, 72.68
677.0, 0.1387, 72.66
678.0, 0.1385, 72.70
679.0, 0.1390, 72.61
680.0, 0.1385, 72.69
681.0, 0.1389, 72.63
682.0, 0.1388, 72.64
683.0, 0.1390, 72.61
684.0, 0.1393, 72.56
685.0, 0.1389, 72.62
686.0, 0.1389, 72.63
687.0, 0.1388, 72.64
688.0, 0.1387, 72.66
689.0, 0.1389, 72.63
690.0, 0.1388, 72.64
691.0, 0.1389, 72.63
692.0, 0.1387, 72.67
693.0, 0.1390, 72.61
694.0, 0.1390, 72.61
695.0, 0.1389, 72.63
696.0, 0.1390, 72.61
697.0, 0.1391, 72.59
698.0, 0.1390, 72.61
699.0, 0.1387, 72.65
700.0, 0.1390, 72.61
701.0, 0.1391, 72.59
702.0, 0.1391, 72.59
703.0, 0.1388, 72.65
704.0, 0.1390, 72.62
705.0, 0.1388, 72.64
706.0, 0.1388, 72.64
707.0, 0.1388, 72.65
708.0, 0.1388, 72.65
709.0, 0.1388, 72.65
710.0, 0.1388, 72.64
711.0, 0.1388, 72.64
712.0, 0.1386, 72.68
713.0, 0.1387, 72.66
714.0, 0.1386, 72.68
715.0, 0.1385, 72.70
716.0, 0.1388, 72.65
717.0, 0.1387, 72.66
718.0, 0.1387, 72.66
719.0, 0.1385, 72.69
720.0, 0.1386, 72.68
721.0, 0.1386, 72.68
722.0, 0.1387, 72.67
723.0, 0.1387, 72.65
724.0, 0.1386, 72.68
725.0, 0.1385, 72.69
726.0, 0.1384, 72.71
727.0, 0.1382, 72.74
728.0, 0.1383, 72.74
729.0, 0.1382, 72.75
730.0, 0.1381, 72.76
731.0, 0.1383, 72.73
732.0, 0.1383, 72.73
733.0, 0.1382, 72.74
734.0, 0.1381, 72.76
735.0, 0.1379, 72.80
736.0, 0.1382, 72.74
737.0, 0.1380, 72.77
738.0, 0.1382, 72.75
739.0, 0.1379, 72.79
740.0, 0.1377, 72.83
741.0, 0.1379, 72.79
742.0, 0.1378, 72.82
743.0, 0.1378, 72.82
744.0, 0.1376, 72.84
745.0, 0.1374, 72.88
746.0, 0.1376, 72.85
747.0, 0.1375, 72.86
748.0, 0.1376, 72.84
749.0, 0.1374, 72.88
750.0, 0.1372, 72.91
751.0, 0.1371, 72.93
752.0, 0.1372, 72.91
753.0, 0.1373, 72.89
754.0, 0.1368, 72.98
755.0, 0.1370, 72.94
756.0, 0.1370, 72.94
757.0, 0.1368, 72.99
758.0, 0.1371, 72.94
759.0, 0.1372, 72.91
760.0, 0.1368, 72.99
761.0, 0.1366, 73.01
762.0, 0.1366, 73.01
763.0, 0.1369, 72.97
764.0, 0.1365, 73.03
765.0, 0.1363, 73.07
766.0, 0.1363, 73.07
767.0, 0.1363, 73.06
768.0, 0.1360, 73.11
769.0, 0.1359, 73.14
770.0, 0.1365, 73.03
771.0, 0.1361, 73.10
772.0, 0.1365, 73.02
773.0, 0.1358, 73.15
774.0, 0.1360, 73.12
775.0, 0.1356, 73.18
776.0, 0.1358, 73.16
777.0, 0.1357, 73.17
778.0, 0.1355, 73.20
779.0, 0.1358, 73.15
780.0, 0.1357, 73.16
781.0, 0.1358, 73.15
782.0, 0.1358, 73.14
783.0, 0.1358, 73.15
784.0, 0.1356, 73.17
785.0, 0.1355, 73.20
786.0, 0.1353, 73.23
787.0, 0.1350, 73.29
788.0, 0.1349, 73.30
789.0, 0.1349, 73.29
790.0, 0.1349, 73.30
791.0, 0.1348, 73.31
792.0, 0.1351, 73.27
793.0, 0.1346, 73.34
794.0, 0.1345, 73.36
795.0, 0.1344, 73.38
796.0, 0.1347, 73.34
797.0, 0.1342, 73.42
798.0, 0.1343, 73.41
799.0, 0.1343, 73.41
800.0, 0.1347, 73.34
801.0, 0.1346, 73.35
802.0, 0.1341, 73.43
803.0, 0.1341, 73.43
804.0, 0.1338, 73.48
805.0, 0.1334, 73.55
806.0, 0.1338, 73.49
807.0, 0.1332, 73.58
808.0, 0.1335, 73.53
809.0, 0.1332, 73.58
810.0, 0.1334, 73.55
811.0, 0.1334, 73.55
812.0, 0.1330, 73.62
813.0, 0.1333, 73.57
814.0, 0.1330, 73.62
815.0, 0.1331, 73.61
816.0, 0.1330, 73.62
817.0, 0.1328, 73.66
818.0, 0.1326, 73.70
819.0, 0.1327, 73.68
820.0, 0.1323, 73.73
821.0, 0.1326, 73.68
822.0, 0.1324, 73.72
823.0, 0.1326, 73.69
824.0, 0.1321, 73.77
825.0, 0.1321, 73.78
826.0, 0.1323, 73.74
827.0, 0.1322, 73.76
828.0, 0.1324, 73.72
829.0, 0.1317, 73.84
830.0, 0.1315, 73.87
831.0, 0.1316, 73.86
832.0, 0.1316, 73.86
833.0, 0.1316, 73.86
834.0, 0.1314, 73.89
835.0, 0.1312, 73.92
836.0, 0.1312, 73.92
837.0, 0.1312, 73.93
838.0, 0.1307, 74.01
839.0, 0.1305, 74.04
840.0, 0.1305, 74.04
841.0, 0.1309, 73.98
842.0, 0.1306, 74.03
843.0, 0.1308, 73.99
844.0, 0.1307, 74.01
845.0, 0.1305, 74.05
846.0, 0.1304, 74.06
847.0, 0.1301, 74.12
848.0, 0.1300, 74.13
849.0, 0.1304, 74.07
850.0, 0.1303, 74.08
851.0, 0.1299, 74.15
852.0, 0.1298, 74.17
853.0, 0.1300, 74.13
854.0, 0.1295, 74.21
855.0, 0.1294, 74.24
856.0, 0.1297, 74.18
857.0, 0.1299, 74.14
858.0, 0.1295, 74.22
859.0, 0.1295, 74.21
860.0, 0.1297, 74.19
861.0, 0.1292, 74.27
862.0, 0.1292, 74.26
863.0, 0.1292, 74.27
